PMACC,PMAYEAR,COUNTY,GPSLONG,GPSLAT,EA_ID,DATUM,SURVEY
KE,2019,5. KITUI,37.93886012,-1.446478534,404151027,WGS84,PMA
KE,2019,4. KILIFI,40.01570051,-3.335942929,404141020,WGS84,PMA
KE,2019,8. NYAMIRA,35.0298177,-0.68138821,404181024,WGS84,PMA
KE,2019,9. SIAYA,34.13531008,0.090840039,404191025,WGS84,PMA
KE,2019,4. KILIFI,39.77183901,-2.965735845,404141014,WGS84,PMA
KE,2019,6. NAIROBI,36.89954312,-1.207652477,404161022,WGS84,PMA
KE,2019,2. KERICHO,35.09539323,-0.317258851,404121013,WGS84,PMA
KE,2019,5. KITUI,38.07444873,-1.662029221,404151013,WGS84,PMA
KE,2019,7. NANDI,35.0673468,0.204687409,404171015,WGS84,PMA
KE,2019,11. WEST_POKOT,35.11947414,1.349686144,404211025,WGS84,PMA
KE,2019,4. KILIFI,40.15129535,-2.926656155,404141016,WGS84,PMA
KE,2019,1. BUNGOMA,34.69372054,0.696031902,404111015,WGS84,PMA
KE,2019,11. WEST_POKOT,35.61467496,1.359522363,404211021,WGS84,PMA
KE,2019,3. KIAMBU,36.6817853,-1.243194125,404131016,WGS84,PMA
KE,2019,6. NAIROBI,36.84706105,-1.283117969,404161015,WGS84,PMA
KE,2019,10. KAKAMEGA,34.55928594,0.147017779,404201007,WGS84,PMA
KE,2019,9. SIAYA,34.45641411,0.065281773,404191010,WGS84,PMA
KE,2019,7. NANDI,34.9364691,0.170224294,404171001,WGS84,PMA
KE,2019,9. SIAYA,34.27846702,-0.09954069,404191005,WGS84,PMA
KE,2019,5. KITUI,37.91382995,-1.056359799,404151014,WGS84,PMA
KE,2019,6. NAIROBI,36.79265685,-1.299103976,404161005,WGS84,PMA
KE,2019,7. NANDI,35.15042968,0.485700674,404171034,WGS84,PMA
KE,2019,2. KERICHO,35.2657849,-0.360405604,404121009,WGS84,PMA
KE,2019,8. NYAMIRA,34.90239472,-0.65431173,404181010,WGS84,PMA
KE,2019,2. KERICHO,35.59932207,-0.200890946,404121008,WGS84,PMA
KE,2019,2. KERICHO,35.16841326,-0.507368198,404121001,WGS84,PMA
KE,2019,7. NANDI,34.75611125,-0.0273418,404171005,WGS84,PMA
KE,2019,6. NAIROBI,36.85363683,-1.280682167,404161019,WGS84,PMA
KE,2019,8. NYAMIRA,34.96813513,-0.516758892,404181022,WGS84,PMA
KE,2019,4. KILIFI,39.7366363,-3.941976251,404141007,WGS84,PMA
