PMACC,PMAYEAR,COUNTY,EA_ID,GPSLONG,GPSLAT,DATUM
KE,2018,4. KILIFI,4878,39.51150917,-3.592697688,WGS84
KE,2018,4. KILIFI,4879,39.55699309,-3.935156789,WGS84
KE,2018,4. KILIFI,4887,39.86679153,-3.635097014,WGS84
KE,2018,4. KILIFI,4985,39.61108273,-3.754192877,WGS84
KE,2018,5. KITUI,4045,38.05255953,-1.035198591,WGS84
KE,2018,5. KITUI,4130,38.00289609,-0.535405137,WGS84
KE,2018,5. KITUI,4230,38.52741039,-1.672018225,WGS84
KE,2018,5. KITUI,4286,38.07092462,-2.166387917,WGS84
KE,2018,5. KITUI,4292,37.9987555,-0.858043751,WGS84
KE,2018,5. KITUI,4336,38.18107344,-1.103865326,WGS84
KE,2018,5. KITUI,4481,38.00706164,-1.372933064,WGS84
KE,2018,5. KITUI,4694,37.99283214,-1.415425298,WGS84
KE,2018,5. KITUI,4701,38.13431379,-0.74290166,WGS84
KE,2018,5. KITUI,4843,38.05705091,-1.225336479,WGS84
KE,2018,5. KITUI,4882,37.85947904,-1.448638802,WGS84
KE,2018,5. KITUI,4900,37.95224167,-1.478191116,WGS84
KE,2018,5. KITUI,4926,37.9779796,-1.351217998,WGS84
KE,2018,6. NAIROBI,4169,36.9221309,-1.272514512,WGS84
KE,2018,6. NAIROBI,4199,36.77064902,-1.314789135,WGS84
KE,2018,6. NAIROBI,4212,36.86653806,-1.276092751,WGS84
KE,2018,6. NAIROBI,4318,36.78046386,-1.31481844,WGS84
KE,2018,6. NAIROBI,4377,36.75328007,-1.268024353,WGS84
KE,2018,6. NAIROBI,4380,36.9283259,-1.297904473,WGS84
KE,2018,6. NAIROBI,4392,36.91865725,-1.217844707,WGS84
KE,2018,6. NAIROBI,4410,36.90335254,-1.272744877,WGS84
KE,2018,6. NAIROBI,4502,36.87121395,-1.318778905,WGS84
KE,2018,6. NAIROBI,4529,36.84298484,-1.279288913,WGS84
KE,2018,6. NAIROBI,4533,36.90542497,-1.187122982,WGS84
KE,2018,6. NAIROBI,4534,36.97979564,-1.282976871,WGS84
KE,2018,6. NAIROBI,4566,36.71233622,-1.288244432,WGS84
KE,2018,6. NAIROBI,4578,36.89097607,-1.312952845,WGS84
KE,2018,6. NAIROBI,4626,36.86104002,-1.2855265,WGS84
KE,2018,6. NAIROBI,4677,36.87550159,-1.2832116,WGS84
KE,2018,6. NAIROBI,4710,36.85832542,-1.262041202,WGS84
KE,2018,6. NAIROBI,4712,36.74847402,-1.285323119,WGS84
KE,2018,6. NAIROBI,4967,36.893527,-1.23974647,WGS84
KE,2018,7. NANDI,4000,35.28799065,0.038546849,WGS84
KE,2018,7. NANDI,4234,35.10886548,0.192582664,WGS84
KE,2018,7. NANDI,4356,34.97482062,0.227670747,WGS84
KE,2018,7. NANDI,4432,35.14402563,0.161053088,WGS84
KE,2018,7. NANDI,4439,35.28355541,0.026224892,WGS84
KE,2018,7. NANDI,4444,35.13655602,0.27002981,WGS84
KE,2018,7. NANDI,4485,34.89694822,0.103261039,WGS84
KE,2018,7. NANDI,4499,34.86288748,0.118404221,WGS84
KE,2018,7. NANDI,4603,35.06739844,0.157147596,WGS84
KE,2018,7. NANDI,4687,35.13057871,0.456939645,WGS84
KE,2018,7. NANDI,4760,35.00915133,0.215184172,WGS84
KE,2018,7. NANDI,4849,34.92305996,0.52847782,WGS84
KE,2018,7. NANDI,4938,35.29673984,0.177670679,WGS84
KE,2018,8. NYAMIRA,4109,34.92580376,-0.553312883,WGS84
KE,2018,8. NYAMIRA,4361,35.00365804,-0.657572067,WGS84
KE,2018,8. NYAMIRA,4378,35.0423478,-0.585144661,WGS84
KE,2018,8. NYAMIRA,4523,34.9908184,-0.48278057,WGS84
KE,2018,8. NYAMIRA,4586,35.00627071,-0.755749711,WGS84
KE,2018,8. NYAMIRA,4639,34.81392148,-0.668206184,WGS84
KE,2018,8. NYAMIRA,4656,34.91482138,-0.513493733,WGS84
KE,2018,8. NYAMIRA,4682,34.93833067,-0.561902227,WGS84
KE,2018,8. NYAMIRA,4723,35.02723827,-0.571195563,WGS84
KE,2018,8. NYAMIRA,4740,34.97978673,-0.629548412,WGS84
KE,2018,8. NYAMIRA,4872,34.87798098,-0.632368858,WGS84
KE,2018,8. NYAMIRA,4956,34.93536514,-0.484534924,WGS84
KE,2018,8. NYAMIRA,4958,34.96573957,-0.551302708,WGS84
KE,2018,9. SIAYA,4036,34.31015066,-0.347206943,WGS84
KE,2018,9. SIAYA,4082,34.16928918,0.146474422,WGS84
KE,2018,9. SIAYA,4092,34.30107392,-0.198319829,WGS84
KE,2018,9. SIAYA,4159,34.30692156,0.303938119,WGS84
KE,2018,9. SIAYA,4188,34.45226823,0.052615632,WGS84
KE,2018,9. SIAYA,4351,34.23888458,-0.04064587,WGS84
KE,2018,9. SIAYA,4446,34.38266587,0.078887024,WGS84
KE,2018,9. SIAYA,4486,34.28229027,-0.131991678,WGS84
KE,2018,9. SIAYA,4666,34.28724913,0.183865051,WGS84
KE,2018,9. SIAYA,4757,34.37936336,0.237962843,WGS84
KE,2018,9. SIAYA,4800,34.17025576,0.263232537,WGS84
KE,2018,9. SIAYA,4819,34.14104925,-0.015045459,WGS84
KE,2018,9. SIAYA,4905,34.12238345,-0.138282828,WGS84
