PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
CI,2020,6.GBEKE,384161002,-5.03260885,7.729064615,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231008,-6.471302633,7.399106833,WGS84,PMA
CI,2020,21.N'ZI,384311001,-4.475124718,6.783348999,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121027,-3.988298383,5.324455812,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121025,-4.059949247,5.508100952,WGS84,PMA
CI,2020,20.NAWA,384301003,-7.016395954,6.252493233,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121034,-4.020623712,5.368574918,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121020,-3.969630455,5.296871161,WGS84,PMA
CI,2020,26.TONKPI,384361003,-7.746696012,7.630830365,WGS84,PMA
CI,2020,12.HAMBOL,384221001,-4.414399601,8.629548358,WGS84,PMA
CI,2020,8.GÔH,384181001,-6.039185302,6.014008767,WGS84,PMA
CI,2020,16.LA ME,384261003,-3.910671735,5.673304515,WGS84,PMA
CI,2020,18.MARAHOUE,384281005,-6.230467938,7.524578526,WGS84,PMA
CI,2020,11.GUEMON,384211003,-7.012702456,6.727916957,WGS84,PMA
CI,2020,20.NAWA,384301002,-6.022907493,5.461846066,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231001,-6.453577373,6.876006839,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231004,-6.913800983,6.686095555,WGS84,PMA
CI,2020,20.NAWA,384301004,-6.421433641,5.629858792,WGS84,PMA
CI,2020,18.MARAHOUE,384281004,-5.746654127,6.9887163,WGS84,PMA
CI,2020,6.GBEKE,384161003,-5.596235702,7.669486297,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121033,-4.235139385,5.583746195,WGS84,PMA
CI,2020,4.BERE,384141001,-6.255905591,8.7698342,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121026,-4.013361717,5.449999655,WGS84,PMA
CI,2020,28.BELIER,384381001,-5.011982208,6.572766455,WGS84,PMA
CI,2020,15.INDENIE-DJUABLIN,384251002,-3.356383637,6.438806179,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121032,-3.944405702,5.369271999,WGS84,PMA
CI,2020,27.YAMOUSSOUKRO,384371002,-5.280619028,6.792292699,WGS84,PMA
CI,2020,29.BOUNKANI,384391001,-4.132699514,9.657815445,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121012,-4.00055911,5.417401404,WGS84,PMA
CI,2020,18.MARAHOUE,384281006,-5.73916654,6.99021054,WGS84,PMA
CI,2020,22.PORO,384321002,-5.520520139,9.654986948,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121028,-4.029927536,5.351610966,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231006,-6.857567196,7.087064948,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121007,-4.015634127,5.455677635,WGS84,PMA
CI,2020,8.GÔH,384181002,-5.857642972,6.46155482,WGS84,PMA
CI,2020,24.SUD-COMOE,384341002,-3.014349852,5.551238515,WGS84,PMA
CI,2020,6.GBEKE,384161005,-5.022929134,7.678567957,WGS84,PMA
