PMACC,PMAYEAR,PROVINCE,EA_ID,GPSLAT,GPSLONG,DATUM
DRC,2017,KINSHASA,5064,-4.377765031,15.31817381,WGS84
DRC,2017,KINSHASA,5012,-4.356815648,15.30127535,WGS84
DRC,2017,KINSHASA,5001,-4.346166546,15.30217611,WGS84
DRC,2017,KINSHASA,5058,-4.355995236,15.27853575,WGS84
DRC,2017,KINSHASA,5061,-4.34608849,15.27899619,WGS84
DRC,2017,KONGO CENTRAL,5276,-5.506846956,13.29945909,WGS84
DRC,2017,KONGO CENTRAL,5277,-5.476267102,13.30030516,WGS84
DRC,2017,KONGO CENTRAL,5270,-5.843550317,12.54494158,WGS84
DRC,2017,KINSHASA,5070,-4.364376097,15.33899267,WGS84
DRC,2017,KONGO CENTRAL,5211,-5.910197669,12.35845788,WGS84
DRC,2017,KONGO CENTRAL,5243,-5.936027793,12.34276747,WGS84
DRC,2017,KONGO CENTRAL,5274,-5.820250097,13.48006504,WGS84
DRC,2017,KONGO CENTRAL,5275,-5.49130287,13.28152057,WGS84
DRC,2017,KINSHASA,5077,-4.312932295,15.29461657,WGS84
DRC,2017,KONGO CENTRAL,5273,-5.823443928,13.45332879,WGS84
DRC,2017,KINSHASA,5020,-4.346659687,15.32041009,WGS84
DRC,2017,KINSHASA,5016,-4.384486071,15.29831188,WGS84
DRC,2017,KINSHASA,5018,-4.375699239,15.2943724,WGS84
DRC,2017,KINSHASA,5065,-4.374453577,15.22375878,WGS84
DRC,2017,KONGO CENTRAL,5272,-5.739049616,13.93806619,WGS84
DRC,2017,KINSHASA,5056,-4.415855701,15.3532222,WGS84
DRC,2017,KINSHASA,5067,-4.368176374,15.38959146,WGS84
DRC,2017,KINSHASA,5087,-4.364814817,15.31739729,WGS84
DRC,2017,KINSHASA,5014,-4.450321994,15.36807333,WGS84
DRC,2017,KINSHASA,5013,-4.411731437,15.35935763,WGS84
