PMACC,PMAYEAR,REGION,DHSREGION,EA_ID,GPSLONG,GPSLAT,DATUM
UG,2018,2. Eastern,eastern,3826,33.95370972,0.701251219,WGS84
UG,2018,1. Central,central2,3831,31.74304202,1.168874749,WGS84
UG,2018,4. Western,south_west,3839,30.83934256,-0.526089498,WGS84
UG,2018,2. Eastern,east_central,3853,33.36119812,1.143044398,WGS84
UG,2018,1. Central,central1,3858,32.57481593,0.263445451,WGS84
UG,2018,1. Central,central1,3863,31.3154291,-0.421627131,WGS84
UG,2018,3. Northern,north,3866,32.39989162,2.276731377,WGS84
UG,2018,4. Western,south_west,3874,30.17437122,-0.674533158,WGS84
UG,2018,4. Western,central2,3897,31.437491,0.91659627,WGS84
UG,2018,1. Central,kampala,3905,32.65834644,0.306753557,WGS84
UG,2018,4. Western,south_west,3909,30.91372155,-0.537673188,WGS84
UG,2018,3. Northern,karamoja,3925,33.96834159,3.594103702,WGS84
UG,2018,3. Northern,karamoja,3926,34.31613307,2.332050246,WGS84
UG,2018,2. Eastern,east_central,3931,33.61590918,0.774851108,WGS84
UG,2018,4. Western,western,3941,31.9000044,1.865343873,WGS84
UG,2018,2. Eastern,eastern,3959,33.96267828,1.356239374,WGS84
UG,2018,4. Western,south_west,3966,29.89150642,-0.84248896,WGS84
UG,2018,1. Central,kampala,3973,32.63213678,0.310971276,WGS84
UG,2018,1. Central,kampala,3974,32.63153014,0.263625896,WGS84
UG,2018,1. Central,central1,3978,32.47180767,0.042409015,WGS84
