PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
UG,2020,6. elgon,800161006,34.1633671,1.085981691,WGS84,PMA
UG,2020,5. busoga,800151001,33.66196397,0.470408803,WGS84,PMA
UG,2020,14. tooro,800241005,31.19461388,0.53776513,WGS84,PMA
UG,2020,1. acholi,800111003,32.11331328,3.006227048,WGS84,PMA
UG,2020,12. south_buganda,800221002,32.65949172,0.336870657,WGS84,PMA
UG,2020,10. lango,800201004,32.43312454,2.408868957,WGS84,PMA
UG,2020,7. kampala,800171004,32.62468276,0.33053076,WGS84,PMA
UG,2020,4. bunyoro,800141004,31.20865861,1.499482672,WGS84,PMA
UG,2020,13. teso,800231005,33.52229855,1.588657092,WGS84,PMA
UG,2020,4. bunyoro,800141007,31.72820435,1.662821773,WGS84,PMA
UG,2020,7. kampala,800171002,32.57375088,0.326547159,WGS84,PMA
UG,2020,11. north_buganda,800211009,31.25867612,0.338320438,WGS84,PMA
UG,2020,8. karamoja,800181001,34.56483279,2.010838278,WGS84,PMA
UG,2020,3. bukedi,800131001,33.95108155,1.013737547,WGS84,PMA
UG,2020,7. kampala,800171001,32.53041729,0.299349211,WGS84,PMA
UG,2020,3. bukedi,800131002,34.174063,0.663254528,WGS84,PMA
UG,2020,3. bukedi,800131006,34.09010644,0.695096336,WGS84,PMA
UG,2020,13. teso,800231004,34.0388112,1.259732265,WGS84,PMA
